s n m tiempo
1 9 43 119.90000000
1 9 44 139.70000000
1 9 45 133.80000000
1 9 46 123.70000000
1 9 47 121.20000000
1 9 48 160.60000000
1 9 49 140.40000000
1 9 50 149.30000000
1 9 51 161.80000000
1 9 52 131.50000000
1 9 53 157.50000000
1 9 54 166.40000000
1 9 55 153.30000000
1 9 56 146.60000000
1 9 57 171.60000000
1 9 58 179.10000000
1 9 59 266.10000000
1 9 60 141.40000000
1 9 61 234.40000000
1 9 62 154.50000000
1 9 63 240.70000000
1 9 64 171.50000000
1 9 65 176.20000000
1 9 66 183.80000000
1 9 67 175.80000000
1 9 68 173.30000000
1 9 69 177.10000000
1 9 70 172.90000000
1 9 71 181.90000000
1 9 72 235.50000000
1 9 73 194.70000000
1 9 74 246.10000000
1 9 75 232.00000000
1 9 76 239.40000000
1 9 77 207.70000000
1 9 78 240.30000000
1 9 79 204.90000000
1 9 80 204.30000000
1 9 81 213.00000000
1 9 82 202.70000000
1 9 83 230.80000000
1 9 84 219.00000000
1 9 85 205.40000000
1 9 86 3371.10000000
1 9 87 193.10000000
1 9 88 226.00000000
1 9 89 260.30000000
1 9 90 205.30000000
1 9 91 201.90000000
1 9 92 247.50000000
1 9 93 194.20000000
1 9 94 241.00000000
1 9 95 205.50000000
1 9 96 203.00000000
1 9 97 213.00000000
1 9 98 201.60000000
1 9 99 195.80000000
1 9 100 192.60000000
1 10 1 128.80000000
1 10 2 145.90000000
1 10 3 131.90000000
1 10 4 122.40000000
1 10 5 126.20000000
1 10 6 130.90000000
1 10 7 110.80000000
1 10 8 128.20000000
1 10 9 119.80000000
1 10 10 129.60000000
1 10 11 124.50000000
1 10 12 128.20000000
1 10 13 123.10000000
1 10 14 147.70000000
1 10 15 162.80000000
1 10 16 165.30000000
1 10 17 123.60000000
1 10 18 143.90000000
1 10 19 151.50000000
1 10 20 163.40000000
1 10 21 131.10000000
1 10 22 130.00000000
1 10 23 123.50000000
1 10 24 151.10000000
1 10 25 121.50000000
1 10 26 146.20000000
1 10 27 173.80000000
1 10 28 135.30000000
1 10 29 117.50000000
1 10 30 121.00000000
1 10 31 119.10000000
1 10 32 138.40000000
1 10 33 116.70000000
1 10 34 167.40000000
1 10 35 125.40000000
1 10 36 123.20000000
1 10 37 152.70000000
1 10 38 134.40000000
1 10 39 141.50000000
1 10 40 164.50000000
1 10 41 147.40000000
1 10 42 130.80000000
1 10 43 173.60000000
1 10 44 151.70000000
1 10 45 139.20000000
1 10 46 215.90000000
1 10 47 167.30000000
1 10 48 188.20000000
1 10 49 165.50000000
1 10 50 170.90000000
1 10 51 154.10000000
1 10 52 151.70000000
1 10 53 142.30000000
1 10 54 165.80000000
1 10 55 161.70000000
1 10 56 241.20000000
1 10 57 166.10000000
1 10 58 160.00000000
1 10 59 156.50000000
1 10 60 149.30000000
1 10 61 168.10000000
1 10 62 218.60000000
1 10 63 153.70000000
1 10 64 197.30000000
1 10 65 197.10000000
1 10 66 180.90000000
1 10 67 153.70000000
1 10 68 164.70000000
1 10 69 162.80000000
1 10 70 170.80000000
1 10 71 187.10000000
1 10 72 167.50000000
1 10 73 167.60000000
1 10 74 172.30000000
