n km kb nanosegundos km*kb n*km*kb div-(km*kb) div-(n*km*kb)
26 5 6 3913800.00000000 30 780 130460.00000000 5017.69230769
26 15 6 4451500.00000000 90 2340 49461.11111111 1902.35042735
26 19 3 3969400.00000000 57 1482 69638.59649123 2678.40755735
27 13 9 4048000.00000000 117 3159 34598.29059829 1281.41817031
27 14 8 4338800.00000000 112 3024 38739.28571429 1434.78835979
27 15 7 4000900.00000000 105 2835 38103.80952381 1411.25220459
27 2 23 3074500.00000000 46 1242 66836.95652174 2475.44283414
27 6 6 3075700.00000000 36 972 85436.11111111 3164.30041152
27 1 10 2462700.00000000 10 270 246270.00000000 9121.11111111
27 2 7 3330600.00000000 14 378 237900.00000000 8811.11111111
27 16 18 5639100.00000000 288 7776 19580.20833333 725.19290123
27 8 27 5840200.00000000 216 5832 27037.96296296 1001.40603567
27 6 2 3595300.00000000 12 324 299608.33333333 11096.60493827
28 2 22 3312200.00000000 44 1232 75277.27272727 2688.47402597
28 14 2 4214900.00000000 28 784 150532.14285714 5376.14795918
28 6 9 4116900.00000000 54 1512 76238.88888889 2722.81746032
28 2 16 3668800.00000000 32 896 114650.00000000 4094.64285714
28 23 26 9792000.00000000 598 16744 16374.58193980 584.80649785
28 15 16 5323100.00000000 240 6720 22179.58333333 792.12797619
28 24 5 4393700.00000000 120 3360 36614.16666667 1307.64880952
28 28 4 4095800.00000000 112 3136 36569.64285714 1306.05867347
28 4 8 2865200.00000000 32 896 89537.50000000 3197.76785714
28 3 11 2907600.00000000 33 924 88109.09090909 3146.75324675
29 8 25 4815300.00000000 200 5800 24076.50000000 830.22413793
29 8 15 4085400.00000000 120 3480 34045.00000000 1173.96551724
29 13 3 4076300.00000000 39 1131 104520.51282051 3604.15561450
29 2 9 3001400.00000000 18 522 166744.44444444 5749.80842912
29 10 11 4840200.00000000 110 3190 44001.81818182 1517.30407524
29 19 4 5368800.00000000 76 2204 70642.10526316 2435.93466425
29 19 6 5355000.00000000 114 3306 46973.68421053 1619.78221416
29 17 7 4205000.00000000 119 3451 35336.13445378 1218.48739496
29 29 20 10191000.00000000 580 16820 17570.68965517 605.88585018
29 2 5 3100900.00000000 10 290 310090.00000000 10692.75862069
