n km kb millisegundos
71 11 20 5.50000000
71 55 40 29.10000000
71 31 27 12.90000000
71 58 11 11.50000000
71 66 15 14.80000000
71 8 51 8.90000000
71 11 9 4.40000000
71 33 12 8.30000000
72 12 35 7.70000000
72 19 68 18.90000000
72 37 16 10.80000000
72 40 53 27.10000000
72 49 14 11.70000000
72 30 58 23.00000000
72 14 10 4.40000000
72 34 49 22.70000000
72 48 18 13.80000000
72 32 26 13.30000000
73 32 52 23.10000000
73 18 38 11.60000000
73 69 50 44.30000000
73 24 40 15.30000000
73 18 39 11.60000000
73 4 7 3.70000000
73 20 41 13.40000000
73 54 40 29.00000000
73 1 13 3.80000000
73 45 41 25.00000000
74 63 27 23.20000000
74 23 34 12.20000000
74 37 28 15.10000000
74 36 43 20.30000000
74 23 62 20.40000000
74 53 67 44.80000000
74 12 20 5.70000000
74 39 41 21.00000000
74 69 72 64.50000000
74 50 32 21.50000000
75 47 33 20.90000000
75 15 46 10.90000000
75 10 8 4.40000000
75 73 69 68.10000000
75 28 52 20.10000000
75 49 24 17.30000000
75 66 40 33.10000000
75 10 72 13.70000000
75 1 42 4.20000000
75 68 19 20.00000000
76 33 2 4.30000000
76 40 39 22.10000000
76 1 54 4.50000000
76 54 58 40.70000000
76 43 60 33.80000000
76 11 66 13.30000000
76 63 34 28.20000000
76 26 52 19.70000000
76 76 63 64.70000000
76 24 57 18.50000000
77 65 36 32.70000000
77 32 9 6.80000000
77 27 34 12.40000000
77 31 27 12.50000000
77 20 27 9.60000000
77 18 34 10.30000000
77 67 41 36.70000000
77 47 3 5.80000000
77 12 40 9.30000000
77 68 75 67.60000000
78 36 75 36.80000000
78 21 63 18.60000000
78 65 58 50.30000000
78 35 8 6.90000000
78 75 77 78.90000000
78 54 14 13.20000000
78 63 29 26.60000000
78 29 40 17.30000000
78 19 8 5.30000000
78 57 57 41.60000000
79 53 12 11.40000000
79 65 16 16.20000000
79 43 76 43.10000000
79 45 37 24.10000000
79 41 34 19.00000000
79 63 61 50.70000000
79 10 53 10.00000000
79 2 4 3.80000000
79 1 32 4.20000000
79 64 45 38.90000000
80 35 13 8.70000000
80 14 35 8.80000000
80 35 44 21.00000000
80 47 16 12.60000000
80 13 76 16.70000000
80 5 61 8.00000000
80 16 49 12.90000000
80 39 37 19.50000000
80 42 43 24.00000000
80 79 77 83.30000000
81 31 70 28.50000000
81 12 26 7.20000000
81 10 79 13.80000000
81 77 41 41.20000000
81 66 74 67.10000000
81 64 48 39.90000000
81 23 20 8.70000000
81 14 52 13.00000000
81 33 18 10.40000000
81 52 32 23.60000000
82 29 21 10.30000000
82 19 55 16.30000000
82 19 8 4.90000000
82 13 20 7.50000000
82 12 63 13.60000000
82 22 2 4.90000000
82 16 79 19.40000000
82 4 9 4.30000000
82 11 2 4.20000000
82 74 43 43.60000000
83 33 80 36.50000000
83 64 76 66.40000000
83 10 50 9.10000000
83 4 67 10.20000000
83 10 54 11.00000000
83 79 65 74.50000000
83 31 51 23.70000000
83 41 56 31.60000000
83 75 2 5.60000000
83 68 33 30.50000000
84 43 59 34.50000000
84 9 52 8.70000000
84 47 62 40.10000000
84 53 67 45.90000000
84 25 75 27.70000000
84 76 25 27.20000000
84 64 26 24.30000000
84 81 19 24.00000000
84 56 55 40.90000000
84 25 64 24.90000000
85 61 10 11.50000000
85 55 35 26.30000000
85 71 41 39.40000000
85 12 83 16.50000000
85 74 46 46.30000000
85 76 54 56.20000000
85 48 60 39.00000000
85 73 33 33.00000000
85 7 68 10.40000000
85 59 4 6.80000000
86 40 13 9.60000000
86 57 15 13.00000000
86 15 79 20.20000000
86 36 69 35.60000000
86 84 70 83.50000000
86 64 61 53.40000000
86 52 52 35.90000000
86 38 42 23.00000000
86 34 13 8.80000000
86 24 49 17.00000000
87 35 63 31.00000000
87 10 78 15.70000000
87 62 5 8.40000000
87 64 10 12.20000000
87 17 40 12.00000000
87 64 42 37.50000000
87 6 14 4.40000000
